Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
332,227.0,15,-7.899999999999999
333,235.0,18,-7.100000000000001
334,235.0,20,-0.9000000000000021
335,227.27886079807536,10,-14.800000000000011
336,227.0,18,-0.6991101293832465
337,221.2310562561766,18,-5.600000000000001
338,235.0,13,-0.40000000000000213
339,222.0,17,-0.40000000000000213
340,242.07533301337529,18,-4.600000000000001
341,219.0,19,-4.100000000000005
342,235.0,18,-4.800000000000001
343,235.0,13,-5.900000000000002
344,225.0,20,-29.900000000000006
345,245.0,20,-22.500000000000007
346,225.3606797749979,20,-22.60626472917697
347,222.0,20,-14.200000000000003
348,219.0,20,-0.1991101293832429
349,230.0,18,-1.6770705410152758
350,227.0,14,-5.700000000000003
351,229.97553028484006,9,-13.100000000000009
352,227.0,20,-25.70000000000001
353,244.8632748256556,15,-4.899999999999999
354,230.0,13,-0.1333339697121687
355,235.0,20,-4.928932188134528
356,235.0,8,-14.300000000000004
357,225.0,20,-16.300000000000004
358,222.0,13,-8.612234857579974
359,230.0,20,-3.100000000000005
360,230.0,18,-2.8000000000000007
361,224.9755302848401,16,1.2999999999999972
362,232.0,13,2.8000000000000007
363,227.0,20,-19.044660940672628
364,227.0,20,-18.500000000000007
365,219.0,15,-5.100000000000001
366,234.66863551965324,19,-17.20000000000001
367,225.0,20,-18.812412905006845
368,252.6227766016838,19,-29.999567408275617
369,235.0,20,-548.2912287450429
370,219.0,15,-10.100000000000009
371,234.97553028484006,15,2.299999999999997
372,237.0,20,-9.000000000000004
373,222.0,20,-17.87707054101528
374,235.0,18,-5.100000000000001
375,233.09042077415043,19,-24.900000000000013
376,238.0,14,-13.900000000000006
377,230.0,20,0.10000000000000142
378,227.0,20,-21.056739766575944
379,235.0,19,-13.300000000000004
380,235.0,14,-6.100000000000005
381,235.0,12,-12.033333969712174
382,225.0,16,-11.300000000000008
383,230.0,15,-21.60000000000001
384,246.99494518064265,20,2.8000000000000007
385,241.8983116601483,16,-9.405567072619899
386,227.0,18,-20.878523992541076
387,243.8983116601483,13,-13.700000000000003
388,229.0,19,-3.6000000000000014
389,245.0,20,-1.7000000000000028
390,230.0,17,-21.70000000000001
391,235.0,18,-110.58391561743267
392,227.0,20,-2.8999999999999986
393,254.6470406614992,18,-6.100000000000001
394,230.0,20,-0.3999999999999986
395,235.0,19,-0.3999999999999986
396,242.0,19,-12.500000000000007
397,227.0,13,-17.500000000000014
398,230.0,20,-12.500000000000007
399,227.0,20,1.3000000000000007
400,219.0,17,-7.985853824061962
401,230.0,11,-6.100000000000005
402,242.91742152377432,20,-19.800000000000004
403,232.0,18,-21.000000000000007
404,231.8983116601483,20,-4.112234857579978
405,217.0,17,-5.600000000000001
406,227.42829235187608,12,-11.800000000000004
407,240.73333206057566,20,-19.300000000000004
408,235.0,20,-8.525496536079775
409,240.14213562373095,20,-2.4000000000000057
410,245.0,16,-16.20000000000001
411,235.0,20,-0.3999999999999986
412,227.0,20,-12.300000000000011
413,239.16653826391968,19,-5.600000000000001
414,230.0,15,-5.600000000000001
415,242.3014581273465,15,-21.492543819324425
416,235.7160843825673,17,-0.9000000000000021
417,235.0,15,2.8000000000000007
418,222.0,20,-15.000000000000007
419,227.0,20,-9.400000000000006
420,214.0,16,-11.628932188134527
421,235.0,20,-12.045568827292144
422,235.0,20,-26.324396703985933
423,235.0,10,-0.3999999999999986
424,242.3014581273465,8,-17.022577482985497
425,227.0,20,-8.600000000000001
426,230.0,13,-2.3999999999999986
427,235.0,15,2.8000000000000007
428,225.0,20,-22.925496536079777
429,227.0,13,-28.500000000000007
430,217.0,18,-17.10000000000001
431,235.0,18,-161.45343061188862
432,227.0,16,-0.3999999999999986
433,240.04585891796944,15,-21.20000000000001
434,234.3014581273465,20,3.8000000000000007
435,230.0,10,-18.80000000000001
436,230.0,18,-9.650844169925847
437,232.0,20,5.089121554927621
438,217.0,18,-1.340155538155063
439,235.0,17,-3.1000000000000014
440,230.0,18,-0.3999999999999986
441,235.0,18,-13.400000000000006
442,235.16660533889092,19,-0.3999999999999986
443,222.59180930210692,19,-12.800000000000011
444,227.0,19,-17.457442116713793
445,225.0,20,-13.700000000000003
446,227.0,20,-14.300000000000004
447,255.51666313398314,20,-0.3999999999999986
448,222.0,20,3.8000000000000007
449,235.0,20,-2.8999999999999986
450,211.0,15,-13.0
451,235.0,20,-27.60000000000001
452,237.0,15,3.8000000000000007
453,222.553481739569,20,-2.325496536079772
454,235.0,0,-2.8999999999999986
